,Pred_Background RF activities,Pred_Bebop drone,Pred_AR drone,Pred_Phantom drone
True_Background RF activities,4096,1,0,3
True_Bebop drone,1,6827,1558,14
True_AR drone,0,4926,3174,0
True_Phantom drone,2,1140,298,660
