,Pred_Background RF activities,Pred_Bebop drone,Pred_AR drone,Pred_Phantom drone
True_Background RF activities,3410,145,526,19
True_Bebop drone,143,6418,1685,154
True_AR drone,620,1900,5515,65
True_Phantom drone,86,696,415,903
